"tick";"Accuracy_run0";"Accuracy_run1";"Accuracy_run2";"Accuracy_run3";"Accuracy_run4";"Accuracy_run5";"Accuracy_run6";"Accuracy_run7";"Accuracy_run8";"Accuracy_run9";"Accuracy_run10";"Accuracy_run11";"Accuracy_run12";"Accuracy_run13";"Accuracy_run14";"Accuracy_run15";"Accuracy_run16";"Accuracy_run17";"Accuracy_run18";"Accuracy_run19";"Time for detection_run0";"Time for detection_run1";"Time for detection_run2";"Time for detection_run3";"Time for detection_run4";"Time for detection_run5";"Time for detection_run6";"Time for detection_run7";"Time for detection_run8";"Time for detection_run9";"Time for detection_run10";"Time for detection_run11";"Time for detection_run12";"Time for detection_run13";"Time for detection_run14";"Time for detection_run15";"Time for detection_run16";"Time for detection_run17";"Time for detection_run18";"Time for detection_run19"
"500";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"520";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"540";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"560";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"580";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"67.5";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"600";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"0.0";"92.0";"0.0";"88.0";"81.0";"0.0";"0.0";"75.0";"0.0";"67.5";"79.0";"0.0";"0.0";"0.0";"0.0";"74.5";"0.0";"0.0";"0.0";"84.5"
"620";"100.0";"100.0";"100.0";"100.0";"100.0";;"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"77.0";"102.66666666666667";"0.0";"98.33333333333333";"81.0";;"87.0";"75.0";"0.0";"78.33333333333333";"79.0";"0.0";"86.33333333333333";"0.0";"79.0";"83.0";"0.0";"89.0";"74.0";"89.33333333333333"
"640";"100.0";"100.0";"100.0";"100.0";"100.0";;"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"75.0";"100.0";"100.0";"100.0";"100.0";"100.0";"93.33333333333333";"102.66666666666667";"83.0";"98.33333333333333";"81.0";;"99.66666666666667";"96.66666666666667";"100.5";"78.33333333333333";"93.66666666666667";"90.0";"86.33333333333333";"0.0";"63.875";"83.0";"0.0";"99.5";"86.0";"89.33333333333333"
"660";"100.0";"100.0";"100.0";"100.0";"100.0";;"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"80.0";"100.0";"100.0";"100.0";"100.0";"100.0";"93.33333333333333";"102.66666666666667";"96.0";"95.66666666666667";"81.0";;"99.66666666666667";"96.33333333333333";"102.0";"78.33333333333333";"93.66666666666667";"98.5";"75.66666666666667";"85.0";"72.1";"83.0";"62.0";"106.0";"103.25";"78.33333333333333"
"680";"100.0";"100.0";"100.0";"46.666666666666664";"100.0";;"100.0";"56.666666666666664";"100.0";"60.0";"100.0";"100.0";"100.0";"100.0";"66.66666666666666";"100.0";"100.0";"100.0";"100.0";"100.0";"93.33333333333333";"102.66666666666667";"96.0";"61.0";"81.0";;"98.16666666666667";"75.2";"102.0";"81.9";"93.66666666666667";"108.66666666666667";"73.0";"88.0";"102.3";"83.0";"69.5";"101.66666666666667";"103.25";"78.33333333333333"
"700";"100.0";"100.0";"100.0";"46.666666666666664";"100.0";;"80.0";"53.33333333333333";"100.0";"43.33333333333333";"100.0";"100.0";"100.0";"100.0";"66.66666666666666";"100.0";"100.0";"83.33333333333331";"100.0";"100.0";"93.33333333333333";"102.66666666666667";"110.66666666666667";"61.0";"81.0";;"81.3";"94.6";"102.0";"81.9";"93.66666666666667";"108.66666666666667";"73.0";"99.5";"102.3";"83.0";"80.66666666666667";"59.333333333333336";"103.25";"78.33333333333333"
"720";"100.0";"100.0";"100.0";"46.666666666666664";"100.0";;"80.0";"50.0";"100.0";"39.999999999999986";"100.0";"100.0";;"90.0";"66.66666666666666";"100.0";"100.0";"85.41666666666666";"100.0";"100.0";"93.33333333333333";"102.66666666666667";"104.0";"61.0";"120.33333333333333";;"81.3";"94.6";"102.0";"81.9";"93.66666666666667";"108.66666666666667";;"96.1";"102.3";"81.33333333333333";"80.66666666666667";"57.458333333333336";"103.25";"78.33333333333333"
"740";"100.0";"100.0";"100.0";"46.666666666666664";"100.0";;"80.0";"53.33333333333333";"100.0";"43.33333333333333";"100.0";"100.0";;"56.666666666666664";"66.66666666666666";"100.0";"100.0";"87.5";"100.0";"87.5";"93.33333333333333";"102.66666666666667";"104.0";"61.0";"120.33333333333333";;"81.3";"86.2";"102.0";"90.5";"93.66666666666667";"108.66666666666667";;"95.2";"102.3";"81.33333333333333";"80.66666666666667";"62.5";"103.25";"84.375"
"760";"100.0";"100.0";"100.0";"46.666666666666664";"100.0";;"80.0";"53.33333333333333";"100.0";"43.33333333333333";"100.0";"100.0";;"56.666666666666664";"66.66666666666666";"100.0";"100.0";"87.5";"100.0";"63.33333333333333";"93.33333333333333";"102.66666666666667";"104.0";"61.0";"120.33333333333333";;"81.3";"86.2";"102.0";"90.5";"93.66666666666667";"108.66666666666667";;"95.2";"102.3";"81.33333333333333";"80.66666666666667";"62.5";"98.375";"68.5"
"780";"100.0";"100.0";"100.0";"46.666666666666664";"100.0";;"80.0";"53.33333333333333";"100.0";"45.0";"100.0";"100.0";;"60.0";"66.66666666666666";"100.0";"100.0";"88.75";"73.33333333333333";"63.33333333333333";"93.33333333333333";"102.66666666666667";"104.5";"61.0";"120.33333333333333";;"81.3";"86.2";"95.875";"88.13333333333334";"93.66666666666667";"108.66666666666667";;"89.8";"102.3";"89.5";"80.66666666666667";"65.72916666666667";"94.9";"68.5"
"800";"100.0";"100.0";"93.33333333333333";"46.666666666666664";;;"80.0";"53.33333333333333";"60.0";"45.0";"100.0";"100.0";;"53.33333333333333";"66.66666666666666";"100.0";"100.0";"88.75";"66.66666666666666";"63.33333333333333";"93.5";"102.66666666666667";"101.6";"61.0";;;"81.3";"86.2";"77.3";"88.13333333333334";"93.66666666666667";"108.66666666666667";;"89.8";"102.3";"89.5";"80.66666666666667";"65.72916666666667";"92.9";"68.5"
